teacher_no,course_name
T20240008,大学英语
T20240001,计算机网络
T20240006,大学英语
T20240013,编译原理
T20240016,编译原理
T20240011,离散数学
T20240009,人工智能
T20240003,算法设计
T20240003,大学英语
T20240015,操作系统
T20240002,数据库系统
T20240007,数据库系统
T20240014,软件工程
T20240014,数据库系统
T20240005,人工智能
T20240001,软件工程
T20240010,数据结构
T20240013,高等数学
T20240016,高等数学
T20240012,离散数学
T20240010,线性代数
T20240014,编译原理
T20240015,软件工程
T20240005,算法设计
T20240011,软件工程
T20240006,离散数学
T20240009,高等数学
T20240005,大学英语
T20240002,大学英语
T20240015,人工智能
T20240010,数据库系统
T20240008,数据结构
T20240007,高等数学
T20240014,算法设计
T20240006,计算机网络
T20240013,操作系统
T20240007,线性代数
T20240002,高等数学
T20240012,软件工程
T20240012,数据库系统
T20240014,高等数学
T20240003,线性代数
T20240011,编译原理
T20240001,高等数学
T20240012,人工智能
T20240009,离散数学
T20240006,软件工程
T20240004,大学英语
T20240004,人工智能
T20240011,大学英语
T20240009,数据结构
T20240010,编译原理
T20240016,线性代数
T20240003,数据库系统
T20240005,离散数学
T20240015,大学英语
T20240011,算法设计
T20240009,计算机网络
T20240002,操作系统
T20240007,离散数学
T20240005,操作系统
T20240002,数据结构
T20240007,数据结构
T20240011,高等数学
T20240016,软件工程
T20240014,操作系统
T20240005,计算机网络
T20240010,高等数学
T20240014,数据结构
T20240012,大学英语
T20240005,线性代数
T20240001,数据结构
T20240006,编译原理
T20240002,线性代数
T20240004,算法设计
